"term","Estimate","Est.Error","Q2.5","Q97.5","outcome"
"Intercept",-0.0121484856603573,0.169276524884535,-0.3450752755,0.32214319425,"Adoption likelihood"
"phi_Intercept",1.183270773435,0.0553055319460507,1.073920425,1.290240815,"Adoption likelihood"
"marker_catja",0.41626660495559,0.142183476891008,0.13471881975,0.6970511985,"Adoption likelihood"
"marker_catbekanntlich",0.170008901955945,0.131578362827873,-0.087440613275,0.425276081749999,"Adoption likelihood"
"pc_prag_c",-0.190795265574054,0.145237336114505,-0.47378565925,0.0934987724999998,"Adoption likelihood"
"pc_prop_c",0.0713851164744178,0.145828886963172,-0.22841541675,0.35928244075,"Adoption likelihood"
"marker_catja:pc_prag_c",-0.312754992551048,0.220040249168401,-0.75169053975,0.112332309499999,"Adoption likelihood"
"marker_catbekanntlich:pc_prag_c",-0.0521427483777592,0.217001951605553,-0.47608825225,0.374934898,"Adoption likelihood"
