"parameter","relaxed_estimate","relaxed_low","relaxed_high","strict_estimate","strict_low","strict_high"
"w_pc",0.366635127763537,0.140279394269348,0.993007248497377,0.405642743457113,0.152024054277521,1.1134035528313
"w_g",0.220967398724108,0.11028738903547,0.44255248853496,0.247010423821726,0.121359973792292,0.500738618764797
"w_int",0.557557011835083,0.224991897242054,1.40283690630368,0.616676961861266,0.244124748789739,1.57162718209408
"pc_prag_low",0.556370028602383,0.26261870505716,0.80973004275639,0.552304077669149,0.270257878919918,0.80743384059263
"threshold_soviel",-1.29580611920723,-2.65171511511649,0.0951965335528954,-1.27814113141497,-1.96511297115282,-0.617533417969078
"threshold_ja",-0.417645645195092,-0.691869977613676,-0.146187467302631,-0.502709354831789,-0.754668478844341,-0.0490066950543636
"threshold_bekanntlich",-0.0594077006936608,-0.274907612637718,0.150330982812395,-0.00234933366374868,-0.175489036633502,0.519781552450113
"thr_gap_ja_bek",0.358237944501431,0.0611195703911622,0.664458413321071,NA,NA,NA
"sigma",0.323430796451444,0.1213843983967,0.863535703666577,0.409854547174063,0.190386520150937,0.902119847816168
"cost_ja",0.395335254118771,0.104389771440953,1.47354531529705,0.562911929230871,0.163649017897917,1.91805455499452
"cost_bekanntlich",0.504127347498232,0.147802967148996,1.70380293692715,0.455954341227001,0.139496887893848,1.52155599089283
