"parameter","mean","sd","2.5%","97.5%","p_lt_0","p_gt_0","rhat","ess_bulk"
"pc_prop_c",-0.119775305056972,0.121770147560821,-0.354058452,0.1274324725,0.8585,0.1415,1.00000173882333,4216.78680508997
"pc_prag_c",-0.101083824122885,0.10234043662079,-0.30283184225,0.10137639475,0.841625,0.158375,1.00015601118262,7586.20943939531
"g_c",0.270686719628709,0.118773606220547,0.035816651875,0.50648561075,0.012375,0.987625,1.00076007590963,7196.31567424399
"pc_prop_c:pc_prag_c",-0.105647492615526,0.0982321616385266,-0.2953728015,0.0883053573749999,0.857,0.143,1.00043418464274,11534.5445895742
"pc_prop_c:g_c",0.001857636045262,0.102328965246075,-0.19500284975,0.2069290125,0.503125,0.496875,1.00000695190398,10844.7647780333
"pc_prag_c:g_c",-0.359759868489711,0.182525327714638,-0.717428974,0.000148157716749813,0.974875,0.025125,0.999912799729149,10912.1407135464
"pc_prop_c:pc_prag_c:g_c",-0.228712398829516,0.196324744896657,-0.61548384275,0.15876117625,0.8765,0.1235,0.999945659630494,11226.0215058
