"model","logLik","AIC","BIC","df","lr_statistic","lr_df","lr_pvalue"
"additive",-673.608955286728,1359.21791057346,1385.98671963158,6,NA,NA,NA
"full",-671.137756970295,1362.27551394059,1406.89019570413,10,4.94239663286567,4,0.293259192214133
