"marker","pc_prag","n","mean_goal","mean_adoption","goal_low","goal_high","adoption_low","adoption_high"
"soviel ich weiß","low",98,62.6224489795918,55.0102040816327,58.2326789715139,66.7451530612245,50.6314175257732,59.5590196078431
"soviel ich weiß","high",105,58.2190476190476,49.8952380952381,53.5242550225896,63.0300335722711,44.5376237623762,55.09625
"ja","low",62,72.2903225806452,60.8225806451613,67.6666666666667,76.6111559139785,54.5214315012305,67.2458296164139
"ja","high",154,74.5,55.2987012987013,71.2481832484267,77.5273026315789,50.6118326768354,59.8750313479624
"bekanntlich","low",160,72.95625,57.29375,69.6309375,76.06890625,53,61.48765625
"bekanntlich","high",61,70.4426229508197,51.6885245901639,65.3173941798942,75.2743699596774,44.6446060285563,58.1671875
