"pc_prag","marker","mean_goal_obs","mean_goal_rsa","mean_goal_rsa_enhanced","mean_adoption_obs","mean_adoption_rsa","mean_adoption_rsa_enhanced"
"low","soviel ich weiß",63.1526549707602,46.6435828050096,61.4297725722992,54.8453333333333,54.481463543168,54.1599212375443
"low","ja",72.0984795321637,48.2566943832844,74.4088028153239,60.7720857699805,59.9371600490228,59.5953700291057
"low","bekanntlich",73.1333625730994,52.4748777640566,72.2522605396817,56.7986403508772,55.620074106222,55.458378441287
"high","soviel ich weiß",58.6564210526316,49.701718540252,59.2790074988599,49.390269005848,51.3253868366592,50.597093230591
"high","ja",74.6723245614035,49.3000406469174,73.6321596211955,54.977865497076,54.6804486825181,55.752801125478
"high","bekanntlich",71.0237037037037,52.4457067682285,72.2698431109832,51.7674074074074,56.375451464188,56.230622328969
