"term","Estimate","Est.Error","Q2.5","Q97.5","outcome"
"Intercept",0.231487459977,0.0965397481413342,0.040168892425,0.420931672,"Adoption likelihood"
"phi_Intercept",1.64885747901667,0.0580358243019843,1.5343599825,1.763364065,"Adoption likelihood"
"zoi_Intercept",-2.87292353125,0.177331191898259,-3.23532409,-2.53694632,"Adoption likelihood"
"coi_Intercept",-0.469817276385678,0.345446987176146,-1.164689995,0.1995288275,"Adoption likelihood"
"marker_strength_c",0.0521679463422813,0.048494598592925,-0.0435344596,0.1468979545,"Adoption likelihood"
"pc_prag_c",-0.14179305934678,0.0694038691263487,-0.2760584885,-0.0052518767025002,"Adoption likelihood"
"marker_strength_c:pc_prag_c",0.0281202962502085,0.0938233863528506,-0.15539571575,0.20936355725,"Adoption likelihood"
