"parameter","estimate","conf.low","conf.high"
"eta_0",6.91776179031613,-8.90242700508815,22.7219225622732
"eta_g",-13.1179882197372,-44.7161645216561,18.3522561256977
"eta_pc",46.0782358679612,-63.9304799935608,152.996046332846
"eta_int",-90.7340803998736,-304.899805941843,129.279534374302
