"pc_prag","marker","obs_goal","obs_adoption","goal_strict","goal_relaxed","goal_calib_strict","goal_calib_relaxed","adopt_base_strict","adopt_base_relaxed","adopt_react_strict","adopt_react_relaxed"
"low","soviel ich weiß",62.6224489795918,55.0102040816327,46.6282289145022,46.6979914212534,65.0200652846441,65.3282166498365,54.6072886530791,54.5842813510144,54.4422271166593,54.4520146911496
"low","ja",72.2903225806452,60.8225806451613,48.2472886384731,48.0934775522988,66.9816320600162,66.9221024811895,60.0242923392829,60.18160628605,60.1925530859141,60.300031183305
"low","bekanntlich",72.95625,57.29375,52.4510511836153,52.4800452985983,72.0746875032587,71.9323193680168,55.7096435112736,55.6991340194369,55.6617691562888,55.6539130183049
"high","soviel ich weiß",58.2190476190476,49.8952380952381,49.6604441044448,49.7125677827918,68.6937361717082,68.7713827575414,51.2907960276031,51.393296898837,51.2726754823542,51.3785054170311
"high","ja",74.5,55.2987012987013,49.2881667986489,49.2318979407939,68.2427047591774,68.2223749002256,54.7431864502386,54.6383431263872,54.8612267001083,54.7500921055669
"high","bekanntlich",70.4426229508197,51.6885245901639,52.4435772703545,52.4711595854951,72.065632506882,71.9221703511964,56.3602175965496,56.3565161858663,56.3179383589637,56.3092556728219
