"term","Estimate","Est.Error","Q2.5","Q97.5","outcome"
"Intercept",0.90300699873,0.104739716396942,0.69445494975,1.1040691425,"Inferred goal strength"
"marker_strength_c",0.259172939593375,0.0503224426693161,0.15887745375,0.35556292,"Inferred goal strength"
"pc_prag_c",0.0547967990952291,0.0641242991479137,-0.070259932,0.18149298375,"Inferred goal strength"
"marker_strength_c:pc_prag_c",0.109485825206876,0.0913550272285606,-0.07036539855,0.28407345125,"Inferred goal strength"
